Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1TITig88ArkL5HvuBfhleh,"7LHCu0aLHeoSVCejoMG2p7","Gidhian Di Raniye Ne Gidhe Wich Aa","Virasat -E- Punjab,Vol. 1","A.S. Kang",2011-12-31,181173,25,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:20:33Z,"bhangra,classic bhangra,classic punjabi pop",0.709,0.539,8,-11.345,1,0.0705,0.797,0,0.0749,0.966,82.793,4
0DlUsYSVB68s2fAW3joi2S,"3ttzOzBpRWRBzhn6thqhdT","Mamla Garbar Hai","Hits Of Gurdas Maan","Gurdas Maan",1992-06-26,415493,32,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:20:33Z,"classic bhangra,classic punjabi pop,filmi,punjabi pop,sufi",0.598,0.425,3,-12.701,1,0.0772,0.755,0.00000126,0.67,0.595,82.463,4
746XhdWS1j3kmdgkAvafMg,"3JKOjnTItO7xSkbNNEgHdQ,5fucIZfxk9a3qSYc5nMkVC","Gall Sun Deora","Sada Punjab - Phatak Kotakpure Da","Didar Sandhu,Surinder Kaur",2012-12-31,168200,8,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:20:33Z,"punjabi folk",0.542,0.449,9,-11.25,1,0.108,0.656,0,0.184,0.881,82.946,4
4T1VnZYqzk76r3z69q7ALP,"0UZNMsusTg12mD0LAJPwlh","Yaaran Da Truck - Kuldip Manak","Lambardarnee","Kuldeep Manak",1980-12-31,244386,35,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:20:33Z,"classic bhangra,classic punjabi pop,punjabi folk,punjabi pop",0.61,0.554,11,-11.421,1,0.0591,0.839,0.001,0.343,0.781,73.626,4
2MOTQlJNX8CgUIBwv3qzqm,"6Dy7t6ELZYEMhw9WNZ9IIF,5nLbRqvY7cG4F2G4Mg6dMe","Mahi Jeth Di Dhup Warga","Parhdi Nu Le Ju Patt Ke","Kartar Ramla,Paramjit Sandhu",1992,281449,27,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:20:33Z,"classic punjabi pop",0.629,0.913,1,-4.017,0,0.0441,0.0547,0,0.233,0.953,98.719,4
4WkOiGSwrXOhwqe3obED1s,"1Qxa8XqBALw9cbsZvppv5t","Kacherian Ch Mele Ladge","Kacheriyan Ch Mele Lagde","Kulwinder Dhillon",2000-01-01,265080,42,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:20:33Z,"bhangra,classic punjabi pop,punjabi pop",0.758,0.886,11,-12.357,0,0.11,0.297,0.0000252,0.197,0.937,169.925,4
6HY58bnrFbtE9VzWhDxWZo,"5MjQby5pq8m4mANED6jFbA","Kali Teri Gut","Chariyaan Di Zoon Buri","Asa Singh Mastana",2005-01-31,180173,8,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:20:33Z,"punjabi folk",0.514,0.512,9,-12.35,1,0.0516,0.602,0,0.247,0.715,75.835,3
3R0ZOZCNxtawIAJ9Qxe7XT,"2tcB32mxjVzmLcyfGizWNX","Mukhda Dekh Ke","Mukhda Dekh Ke","Surjit Bindrakhia",1999-08-05,296613,51,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:20:33Z,"bhangra,classic bhangra",0.65,0.837,4,-11.542,0,0.0415,0.272,0.0161,0.139,0.975,178.239,4
5PqnB8Phu6G1JRxhfm9BBE,"5Lt1YtQ7PK7ANlfAM9vqVj","Sohniye","Juggy D","Juggy D",2004-10-12,237466,42,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:20:33Z,"bhangra",0.643,0.769,10,-7.383,0,0.2,0.128,0.00464,0.0551,0.749,201.964,4
36MVQvFbQ2A83oCvbvm0UX,"0Wrp7P9HV2JVEKAzU3tLSD","Gani Teri De Manke","Gani Teri De Manke- Mohd. Siddique","Muhammad Sadiq",2001-05-01,247480,4,spotify:user:31zxctonsrbt6wbuxboxu7eghmde,2023-11-20T18:20:33Z,"classic punjabi pop",0.821,0.706,7,-11.208,0,0.112,0.311,0.00000248,0.263,0.812,105.93,4
